Metabolite,Equilibrium,Log_K,Temperature,Ionic strength,pH,X.charge,Citation,Notes
Glyceric acid,logK_ML/M.L,0.86,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
CoA,logK_ML/M.L,,,,,,,
Citrulline,logK_ML/M.L,1.66,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
L-Threonine,logK_ML/M.L,1.45,25,0.15,,,"Pure & Appl. Chem., Vol. 67, No. 7, pp. 1117-1240, 1995",
Glucoseamine-6-P,logK_ML/M.L,,,,,,,
L-Serine,logK_ML/M.L,1.03,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
acetylphosphate,logK_ML/M.L,,,,,,,
Gluconolactone,logK_ML/M.L,,,,,,,
sedoheptulose-7-phosphate,logK_ML/M.L,,,,,,,
Rib-5-P,logK_ML/M.L,1.58,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
GDP,logK_ML/M.L,3.4,30,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
acetyl-CoA,logK_ML/M.L,,,,,,,
carb-aspartate,logK_ML/M.L,,,,,,,
L-Arginine,logK_ML/M.L,,,,,,,
Succinic acid,logK_ML/M.L,1.24,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
UDP-glucuronate,logK_ML/M.L,,,,,,,
ADP,logK_ML/M.L,3.23,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
L-Asparagine,logK_ML/M.L,0.18,25,0.16,,,"Pure & Appl. Chem., Vol. 67, No. 7, pp. 1117-1240, 1995",Use Ca2+
a-ketoglutarate,logK_ML/M.L,4.44,25,0.5,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
L-Lysine,logK_ML/M.L,1.05,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",Ca2+ value
L-Proline,logK_ML/M.L,1.68,37,0.15,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",Use DL-Thiaproline
dTDP,logK_ML/M.L,3.23,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Homocysteine,logK_ML/M.L,2.75,20,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",Use Cysteine
CMP,logK_ML/M.L,1.54,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
deoxyrib-5-P,logK_ML/M.L,,,,,,,
Fumarate,logK_ML/M.L,0.48,25,0.1,,,V3,Use Ca2+
AMP,logK_ML/M.L,1.8,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
IMP,logK_ML/M.L,1.68,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
glyceraldehyde-3-P,logK_ML/M.L,,,,,,,
pRpp,logK_ML/M.L,,,,,,,
succinyl-CoA,logK_ML/M.L,,,,,,,
ITP,logK_ML/M.L,4.12,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Guanine,logK_ML/M.L,,,,,,,
P-enolpyruvate,logK_ML/M.L,2.26,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
S-adenosyl-L-methionine,logK_ML/M.L,,,,,,,
xylulose-5-phosphate,logK_ML/M.L,,,,,,,
FAD,logK_ML/M.L,,,,,,,
L-Isoleucine,logK_ML/M.L,1.85,20,0.15,,,"(1) Sovago, I.; Kiss, T.; Gergely, A. Critical Survey of the Stability Constants of Complexes of Aliphatic Amino Acids (Technical Report). Pure and Applied Chemistry 1993, 65 (5), 1029–1080. https://doi.org/10.1351/pac199365051029.",
L-Leucine,logK_ML/M.L,1.89,20,0.15,,,"(1) Sovago, I.; Kiss, T.; Gergely, A. Critical Survey of the Stability Constants of Complexes of Aliphatic Amino Acids (Technical Report). Pure and Applied Chemistry 1993, 65 (5), 1029–1080. https://doi.org/10.1351/pac199365051029.",
L-Methionine,logK_ML/M.L,,,,,,,
"2,3-dihydroxybenzoic acid",logK_ML/M.L,0.1,30,0.5,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",Use benzoic acid
NADPH,logK_ML/M.L,,,,,,,
ribulose-5-P,logK_ML/M.L,,,,,,,
D-dgluconic acid,logK_ML/M.L,,,,,,,
Phenylpyruvic acid,logK_ML/M.L,,,,,,,
NADH,logK_ML/M.L,,,,,,,
"2,3-P-glycerate",logK_ML/M.L,2.61,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
"N-ACN-glucosamine-1,6-P",logK_ML/M.L,,,,,,,
L-Histidine,logK_ML/M.L,4,25,0.1,,,"Biochem. J. 1952, 30 690",
Flavin,logK_ML/M.L,,,,,,,
4-OH-benzoate,logK_ML/M.L,0.1,30,0.5,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",Use benzoic acid
dGMP,logK_ML/M.L,,,,,,,
erythrose-P,logK_ML/M.L,,,,,,,
Glycerol,logK_ML/M.L,,,,,,,
N-ACN-ornithine,logK_ML/M.L,,,,,,,
Isocitrate,logK_ML/M.L,2.55,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
malonyl-CoA,logK_ML/M.L,,,,,,,
cyclic-AMP,logK_ML/M.L,,,,,,,
dCTP,logK_ML/M.L,,,,,,,
L-Tyrosine,logK_ML/M.L,2,20,0,,,"Biochem. J. 1952, 30 690",
IDP,logK_ML/M.L,,,,,,,
GMP,logK_ML/M.L,1.72,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
acetoacetyl-CoA,logK_ML/M.L,,,,,,,
riboflavin,logK_ML/M.L,,,,,,,
L-Phenylalanine,logK_ML/M.L,,,,,,,
"1,3-P-glycerate",logK_ML/M.L,,,,,,,
Aconitic acid,logK_ML/M.L,,,,,,,
dATP,logK_ML/M.L,,,,,,,
Cytosine,logK_ML/M.L,,,,,,,
Shikimate,logK_ML/M.L,,,,,,,
histidinol,logK_ML/M.L,,,,,,,
L-Tryptophan,logK_ML/M.L,,,,,,,
dihydro-orotate,logK_ML/M.L,,,,,,,
Quinolinate,logK_ML/M.L,1.37,25,0,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Ornithine,logK_ML/M.L,,,,,,,
dAMP,logK_ML/M.L,,,,,,,
AMPS,logK_ML/M.L,1.28,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
myo-inositol,logK_ML/M.L,,,,,,,
propionyl-CoA,logK_ML/M.L,,,,,,,
ADP-glucose,logK_ML/M.L,,,,,,,
Anthranilate,logK_ML/M.L,0.72,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
deoxyadenosine,logK_ML/M.L,,,,,,,
Cytidine,logK_ML/M.L,,,,,,,
NADP,logK_ML/M.L,,,,,,,
Guanosine,logK_ML/M.L,,,,,,,
Adenine,logK_ML/M.L,,,,,,,
deoxyguanosine,logK_ML/M.L,,,,,,,
Oxaloacetate,logK_ML/M.L,1.02,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Adenosine,logK_ML/M.L,,,,,,,
L-Glutamic acid,logK_MHL/M.HL,1.501,37,0.15,,,"(1) Berthon, G. Speciation Studies in Relation to Magnesium Bioavailability. Formation of Mg(I1) Complexes with Glutamate, Aspartate, Glycinate, Lactate, Pyroglutamate, Pyridoxine and Citrate, and Appraisal of Their Potential Significance Towards Magnesium Gastrointestinal Absorption. 11.",
Glutathione,logK_MHL/M.HL,,,,,,,
"Fructose 1,6-BP",logK_MHL/M.HL,,,,,,,
ATP,logK_MHL/M.HL,,,,,,,
UDP-GlcNAC,logK_MHL/M.HL,,,,,,,
UTP,logK_MHL/M.HL,,,,,,,
Glucose 6-P,logK_MHL/M.HL,,,,,,,
GTP,logK_MHL/M.HL,,,,,,,
dTTP,logK_MHL/M.HL,,,,,,,
L-Aspartic acid,logK_MHL/M.HL,0.871,37,0.15,,,"(1) Berthon, G. Speciation Studies in Relation to Magnesium Bioavailability. Formation of Mg(I1) Complexes with Glutamate, Aspartate, Glycinate, Lactate, Pyroglutamate, Pyridoxine and Citrate, and Appraisal of Their Potential Significance Towards Magnesium Gastrointestinal Absorption. 11.",
L-Valine,logK_MHL/M.HL,,,,,,,
L-Glutamine,logK_MHL/M.HL,,,,,,,
6-P-gluconic acid,logK_MHL/M.HL,,,,,,,
Pyruvic acid,logK_MHL/M.HL,,,,,,,
diOH-ACN-P,logK_MHL/M.HL,,,,,,,
CTP,logK_MHL/M.HL,,,,,,,
L-Alanine,logK_MHL/M.HL,,,,,,,
NAD,logK_MHL/M.HL,,,,,,,
Fructose 6-P,logK_MHL/M.HL,,,,,,,
UDP-glucose,logK_MHL/M.HL,,,,,,,
Oxidized glutathione,logK_MHL/M.HL,,,,,,,
uridine,logK_MHL/M.HL,,,,,,,
Citric acid,logK_MHL/M.HL,,,,,,,
UDP,logK_MHL/M.HL,,,,,,,
(S)-Malic acid,logK_MHL/M.HL,,,,,,,
3-P-D-glyceric acid,logK_MHL/M.HL,,,,,,,
Glyceric acid,logK_MHL/M.HL,,,,,,,
CoA,logK_MHL/M.HL,,,,,,,
Citrulline,logK_MHL/M.HL,,,,,,,
L-Threonine,logK_MHL/M.HL,,,,,,,
Glucoseamine-6-P,logK_MHL/M.HL,,,,,,,
L-Serine,logK_MHL/M.HL,,,,,,,
acetylphosphate,logK_MHL/M.HL,,,,,,,
Gluconolactone,logK_MHL/M.HL,,,,,,,
sedoheptulose-7-phosphate,logK_MHL/M.HL,,,,,,,
Rib-5-P,logK_MHL/M.HL,,,,,,,
GDP,logK_MHL/M.HL,,,,,,,
acetyl-CoA,logK_MHL/M.HL,,,,,,,
carb-aspartate,logK_MHL/M.HL,,,,,,,
L-Arginine,logK_MHL/M.HL,1.3,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Succinic acid,logK_MHL/M.HL,,,,,,,
UDP-glucuronate,logK_MHL/M.HL,,,,,,,
ADP,logK_MHL/M.HL,,,,,,,
L-Asparagine,logK_MHL/M.HL,,,,,,,
a-ketoglutarate,logK_MHL/M.HL,,,,,,,
L-Lysine,logK_MHL/M.HL,,,,,,,
L-Proline,logK_MHL/M.HL,,,,,,,
dTDP,logK_MHL/M.HL,,,,,,,
Homocysteine,logK_MHL/M.HL,,,,,,,
CMP,logK_MHL/M.HL,,,,,,,
deoxyrib-5-P,logK_MHL/M.HL,,,,,,,
Fumarate,logK_MHL/M.HL,,,,,,,
AMP,logK_MHL/M.HL,,,,,,,
IMP,logK_MHL/M.HL,,,,,,,
glyceraldehyde-3-P,logK_MHL/M.HL,,,,,,,
pRpp,logK_MHL/M.HL,,,,,,,
succinyl-CoA,logK_MHL/M.HL,,,,,,,
ITP,logK_MHL/M.HL,,,,,,,
Guanine,logK_MHL/M.HL,,,,,,,
P-enolpyruvate,logK_MHL/M.HL,,,,,,,
S-adenosyl-L-methionine,logK_MHL/M.HL,,,,,,,
xylulose-5-phosphate,logK_MHL/M.HL,,,,,,,
FAD,logK_MHL/M.HL,,,,,,,
L-Isoleucine,logK_MHL/M.HL,,,,,,,
L-Leucine,logK_MHL/M.HL,,,,,,,
L-Methionine,logK_MHL/M.HL,,,,,,,
"2,3-dihydroxybenzoic acid",logK_MHL/M.HL,,,,,,,
NADPH,logK_MHL/M.HL,,,,,,,
ribulose-5-P,logK_MHL/M.HL,,,,,,,
D-dgluconic acid,logK_MHL/M.HL,,,,,,,
Phenylpyruvic acid,logK_MHL/M.HL,,,,,,,
NADH,logK_MHL/M.HL,,,,,,,
"2,3-P-glycerate",logK_MHL/M.HL,,,,,,,
"N-ACN-glucosamine-1,6-P",logK_MHL/M.HL,,,,,,,
L-Histidine,logK_MHL/M.HL,,,,,,,
Flavin,logK_MHL/M.HL,,,,,,,
4-OH-benzoate,logK_MHL/M.HL,,,,,,,
dGMP,logK_MHL/M.HL,,,,,,,
erythrose-P,logK_MHL/M.HL,,,,,,,
Glycerol,logK_MHL/M.HL,,,,,,,
N-ACN-ornithine,logK_MHL/M.HL,,,,,,,
Gluconic acid,logK_MHL/M.HL,,,,,,,
Isocitrate,logK_MHL/M.HL,,,,,,,
malonyl-CoA,logK_MHL/M.HL,,,,,,,
cyclic-AMP,logK_MHL/M.HL,,,,,,,
dCTP,logK_MHL/M.HL,,,,,,,
L-Tyrosine,logK_MHL/M.HL,,,,,,,
IDP,logK_MHL/M.HL,,,,,,,
GMP,logK_MHL/M.HL,,,,,,,
acetoacetyl-CoA,logK_MHL/M.HL,,,,,,,
riboflavin,logK_MHL/M.HL,,,,,,,
L-Phenylalanine,logK_MHL/M.HL,,,,,,,
"1,3-P-glycerate",logK_MHL/M.HL,,,,,,,
Aconitic acid,logK_MHL/M.HL,,,,,,,
dATP,logK_MHL/M.HL,,,,,,,
Cytosine,logK_MHL/M.HL,,,,,,,
Shikimate,logK_MHL/M.HL,,,,,,,
histidinol,logK_MHL/M.HL,,,,,,,
L-Tryptophan,logK_MHL/M.HL,,,,,,,
dihydro-orotate,logK_MHL/M.HL,,,,,,,
Quinolinate,logK_MHL/M.HL,,,,,,,
Ornithine,logK_MHL/M.HL,,,,,,,
dAMP,logK_MHL/M.HL,,,,,,,
AMPS,logK_MHL/M.HL,,,,,,,
myo-inositol,logK_MHL/M.HL,,,,,,,
propionyl-CoA,logK_MHL/M.HL,,,,,,,
ADP-glucose,logK_MHL/M.HL,,,,,,,
Anthranilate,logK_MHL/M.HL,,,,,,,
deoxyadenosine,logK_MHL/M.HL,,,,,,,
Cytidine,logK_MHL/M.HL,,,,,,,
NADP,logK_MHL/M.HL,,,,,,,
Guanosine,logK_MHL/M.HL,,,,,,,
Adenine,logK_MHL/M.HL,,,,,,,
deoxyguanosine,logK_MHL/M.HL,,,,,,,
Oxaloacetate,logK_MHL/M.HL,,,,,,,
Adenosine,logK_MHL/M.HL,,,,,,,
EDTA,logK_HL/H.L,10.17,25,0.1,,-4,V3,
EDTA,logK_H2L/H.HL,6.11,25,0.1,,-4,V3,
EDTA,logK_H3L/H.H2L,2.68,25,0.1,,-4,V3,
EDTA,logK_ML/M.L,8.79,25,0.1,,-4,V3,
EDTA,logK_MHL/M.HL,,,,,,,
Glycerol 1-P,logK_HL/H.L,6.08,25,0.1,,-2,V3,
Glycerol 1-P,logK_H2L/H.HL,1.335,25,0,,,V3, Use pKa from glycerol 2-P
Glycerol 1-P,logK_H3L/H.H2L,,,,,,,
Glycerol 1-P,logK_ML/M.L,1.8,20,0.1,,,V3,
Glycerol 1-P,logK_MHL/M.HL,,,,,,,
Benzoic acid,logK_HL/H.L,4,25,0.1,,-1,V3,
Benzoic acid,logK_H2L/H.HL,,,,,,,
Benzoic acid,logK_H3L/H.H2L,,,,,,,
Benzoic acid,logK_ML/M.L,0.1,25,1,,,V3,
Benzoic acid,logK_MHL/M.HL,,,,,,,
Gluconic acid,logK_ML/M.L,0.7,25,0.1,,,V3,
Lactic acid,logK_HL/H.L,3.66,25,0.1,,-1,V3,
Lactic acid,logK_H2L/H.HL,,,,,,,
Lactic acid,logK_H3L/H.H2L,,,,,,,
Lactic acid,logK_ML/M.L,0.93,25,0.1,,,V3,
Lactic acid,logK_MHL/M.HL,,,,,,,
