Species,Metabolites,Concentration,Kd.app,MCM,Exp.biol.effect,Source,Notes
E.coli,D-dgluconic acid,0.0918,231.2014,0.000787302306075,0.182025395387849,Predicted from chemical structure,Use Gluconic acid
E.coli,Phenylpyruvic acid,0.0898,92.0264786160451,0.001910100246691,0.175779799506618,Predicted from chemical structure,Use Pyruvic acid
E.coli,NADH,0.0836,9.12,0.015035971223022,0.137128057553957,Predicted from chemical structure,Use UDP-GlcNAC
E.coli,"2,3-P-glycerate",0.0829,7.77712690296629,0.016957947017104,0.131884105965793,Calculated in this work,
E.coli,"N-ACN-glucosamine-1,6-P",0.0819,9.19344563913953,0.014633563719401,0.134532872561198,Predicted from chemical structure,"Use fructose 1,6-P"
E.coli,L-Histidine,0.0676,6.4613418681309,0.01597855306015,0.1032428938797,Calculated in this work,
E.coli,Flavin,0.0537,,,,,
E.coli,4-OH-benzoate,0.0522,376.0592,0.000276147227736,0.103847705544528,Predicted from chemical structure,Use Benzoic acid
E.coli,dGMP,0.0507,26.91742,0.003506536890221,0.094386926219559,Predicted from chemical structure,Use GMP
E.coli,erythrose-P,0.049,39.9575232092223,0.00233569554407,0.09332860891186,Predicted from chemical structure,Use Ribose 5-P
E.coli,Glycerol,0.049,,,,,
E.coli,N-ACN-ornithine,0.0433,10776895.4570164,8.03570789695306E-09,0.086599983928584,Predicted from chemical structure,Use Lysine
E.coli,Gluconic acid,0.0416,231.2014,0.000356773158309,0.082486453683383,Calculated in this work,
E.coli,Isocitrate,0.0367,4.49273918479593,0.011304935853866,0.050790128292268,Calculated in this work,
E.coli,malonyl-CoA,0.0354,9.12,0.00636690647482,0.05806618705036,Predicted from chemical structure,Use UDP-GlcNAC
E.coli,cyclic-AMP,0.0352,22.2013063502775,0.00290893388072,0.064582132238561,Predicted from chemical structure,Use AMP
E.coli,dCTP,0.0345,0.183246682639748,0.031604307726039,0.005791384547922,Predicted from chemical structure,Use CTP
E.coli,L-Tyrosine,0.0289,2608356.63080939,2.21595294900319E-08,0.057799955680941,Calculated in this work,
E.coli,IDP,0.0238,1.011565,0.015805735556098,0.015988528887804,Predicted from chemical structure,Use ADP
E.coli,GMP,0.0237,26.91742,0.001639150380636,0.044121699238729,Calculated in this work,
E.coli,acetoacetyl-CoA,0.0218,9.12,0.003920863309353,0.035758273381295,Predicted from chemical structure,Use UDP-GlcNAC
E.coli,riboflavin,0.019,,,,,
E.coli,L-Phenylalanine,0.0182,2606.35559634375,1.39551524535318E-05,0.036372089695093,Predicted from chemical structure,Use Alanine
E.coli,"1,3-P-glycerate",0.0165,7.77712690296629,0.003375224677711,0.026249550644579,Predicted from chemical structure,"Use 2,3-P-glycerate"
E.coli,Aconitic acid,0.0161,0.589541640253015,0.012434633025192,0.007330733949616,Predicted from chemical structure,Use citric acid
E.coli,dATP,0.0155,0.054990588360802,0.015085227239278,0.000829545521444,Predicted from chemical structure,Use ATP
E.coli,Cytosine,0.0141,,,,,
E.coli,Shikimate,0.0141,376.0592,7.4591492549315E-05,0.028050817014901,Predicted from chemical structure,Use Benzoic acid
E.coli,histidinol,0.0128,,,,,
E.coli,L-Tryptophan,0.0121,2606.35559634375,9.2778760817437E-06,0.024181444247837,Predicted from chemical structure,Use Alanine
E.coli,dihydro-orotate,0.0119,376.0592,6.29531036409113E-05,0.023674093792718,Predicted from chemical structure,Use Benzoic acid
E.coli,Quinolinate,0.0115,139.489002663691,0.000162556803476,0.022674886393048,Calculated in this work,
E.coli,Ornithine,0.0101,10776895.4570164,1.87437990206064E-09,0.02019999625124,Predicted from chemical structure,Use Lysine
E.coli,dAMP,0.00884,22.2013063502775,0.000730539076863,0.016218921846275,Predicted from chemical structure,Use AMP
E.coli,AMPS,0.00663,70.6430978306031,0.000182536268359,0.012894927463283,Calculated in this work,
E.coli,myo-inositol,0.00572,,,,,
E.coli,propionyl-CoA,0.00532,9.12,0.000956834532374,0.008726330935252,Predicted from chemical structure,Use UDP-GlcNAC
E.coli,ADP-glucose,0.00427,3.3,0.001611320754717,0.005317358490566,Use UDP-Glucose,
E.coli,Anthranilate,0.00348,775.264633969601,8.95447920286079E-06,0.006942091041594,Calculated in this work,
E.coli,deoxyadenosine,0.00282,,,,,
E.coli,Cytidine,0.00259,,,,,
E.coli,NADP,0.00208,9.12,0.000374100719424,0.003411798561151,Predicted from chemical structure,Use UDP-GlcNAC
E.coli,Guanosine,0.00162,,,,,
E.coli,Adenine,0.00147,,,,,
E.coli,deoxyguanosine,0.000522,,,,,
E.coli,Oxaloacetate,0.000487,128.208327526487,7.4803203335967E-06,0.000959039359333,Calculated in this work,
E.coli,Adenosine,0.000131,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,W,,
